route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_code
1758,1,336E,CEBECİ PERONLAR - CEBECİ KÖYÜ YOLU,3,,336E_G_D5642
1759,1,336E,MALKOÇOĞLU - EMİNÖNÜ,3,İSMETPAŞA MAHALLESİNDEN BAŞLAR.,336E_G_D5643
1760,1,336H,MESCİD-İ SELAM - HADIMKÖY AKPINAR PERONLAR,3,,336H_D_D0
1761,1,336H,CEMAL REŞİT REY İLKOKULU - HADIMKÖY AKPINAR PERONLAR,3,,336H_D_D5281
1762,1,336H,KİPTAŞ VENEZİA - HADIMKÖY AKPINAR PERONLAR,3,,336H_D_D5738
1763,1,336H,HADIMKÖY AKPINAR PERONLAR - MESCİD-İ SELAM,3,,336H_G_D0
1764,1,336H,HARAÇÇI - HADIMKÖY AKPINAR PERONLAR,3,,336H_G_D5099
1765,1,336H,HARAÇÇI - HARAÇÇI,3,,336H_G_D5318
1766,1,336H,HADIMKÖY AKPINAR PERONLAR - DOLUNAY SOKAK,3,,336H_G_D5734
1767,1,336H,HADIMKÖY AKPINAR PERONLAR - KİPTAŞ VENEZİA,3,,336H_G_D5737
1768,1,336K,MESCİD - İ SELAM - YENİKÖY,3,,336K_D_D0
1769,1,336K,MESCİD-İ SELAM - YENİKÖY,3,BAKLALI KÖYÜ GÜZERGAHINDAN HİZMET VERİR.,336K_D_D5097
1771,1,336K,YENİKÖY - MESCİD - İ SELAM,3,,336K_G_D0
1772,1,336K,YENİKÖY - MESCİD - İ SELAM,3,BAKLALI KÖYÜ GÜZERGAHINDAN HİZMET VERİR.,336K_G_D5096
1773,1,336K,YENİKÖY - MESCİD - İ SELAM,3,SAATTE YENİKÖY TERKOS BAKLALI GÜZERGAHINDA HİZMET VERİR.,336K_G_D5121
1774,1,336K,KAYAŞEHİR - CEBECİ PERONLAR,3,,336K_G_D7824
1775,1,336K,YENİKÖY - MESCİD - İ SELAM,3,BAKLALI KÖYÜ GÜZERGAHINDAN HİZMET VERİR.,336K_G_D7939
1777,1,336M,MECİDİYEKÖY METROBÜS - ARNAVUTKÖY PERONLAR,3,,336M_D_D0
